player,club,cost,pos,sel%,form,pts
Awoniyi,Nott'm Forest,5.5,FWD,0.80%,0,32
Van de Ven,Spurs,4.5,DEF,25.20%,0,32
Senesi,Bournemouth,4.5,DEF,0.60%,0,31
Diop,Fulham,4.5,DEF,0.10%,0,31
O’Reilly,Man City,5,DEF,0.20%,0,31
N.Gonzalez,Man City,6,MID,0.10%,0,31
McAtee,Man City,5.5,MID,0.10%,0,31
Gomez,Brighton,5,MID,0.10%,0,30
Stones,Man City,5.5,DEF,0.60%,0,29
Scarles,West Ham,4.5,DEF,0.00%,0,29
Ferguson,Brighton,5.5,FWD,0.00%,0,28
Davies,Spurs,4.5,DEF,0.10%,0,28
Nelson,Arsenal,5,MID,0.10%,0,27
Tuanzebe,Burnley,4,DEF,2.90%,0,27
Kayode,Brentford,4.5,DEF,0.20%,0,27
Phillips,Man City,5,MID,0.10%,0,27
Scott,Bournemouth,5,MID,0.10%,0,26
Fofana,Chelsea,4.5,DEF,0.30%,0,26
Lavia,Chelsea,5,MID,0.10%,0,26
Aké,Man City,5.5,DEF,0.60%,0,25
Mount,Man Utd,6,MID,0.20%,0,25
Dragusin,Spurs,4.5,DEF,0.00%,0,24
Sinisterra,Bournemouth,5,MID,0.10%,0,23
Esse,Crystal Palace,5,MID,0.20%,0,22
Iroegbunam,Everton,5,MID,0.00%,0,22
Yoro,Man Utd,4.5,DEF,1.40%,0,22
Endo,Liverpool,5,MID,0.10%,0,21
L.Miley,Newcastle,4.5,MID,2.90%,0,21
Sangaré,Nott'm Forest,5,MID,0.10%,0,20
F.Kadıoğlu,Brighton,4.5,DEF,0.20%,0,19
Doucouré,Crystal Palace,5,MID,0.00%,0,19
Travers,Everton,4.5,GKP,0.20%,0,19
Osula,Newcastle,5.5,FWD,0.20%,0,19
Moore,Spurs,5,MID,0.00%,0,19
Igor,Brighton,4.5,DEF,0.00%,0,18
Jörgensen,Chelsea,4.5,GKP,0.20%,0,18
Clyne,Crystal Palace,4,DEF,0.70%,0,18
Dewsbury-Hall,Everton,5,MID,3.80%,0,18
Dorgu,Man Utd,4.5,DEF,6.60%,0,18
Botman,Newcastle,5,DEF,0.50%,0,18
Hill,Bournemouth,4,DEF,0.70%,0,17
George,Chelsea,5,MID,0.10%,0,17
Krafth,Newcastle,4.5,DEF,0.10%,0,17
Kinsky,Spurs,4,GKP,2.80%,0,17
Danso,Spurs,4.5,DEF,0.20%,0,16
Patterson,Everton,4.5,DEF,0.10%,0,14
Gomez,Liverpool,5,DEF,0.10%,0,14
Khusanov,Man City,5.5,DEF,0.40%,0,14
Walker,Burnley,4.5,DEF,2.00%,0,13
J.Araujo,Bournemouth,4,DEF,1.30%,0,12
L.Guilherme,West Ham,5,MID,0.00%,0,12
Johnstone,Wolves,4.5,GKP,0.20%,0,12
Buendía,Aston Villa,5.5,MID,0.20%,0,11
Philip,Bournemouth,5,MID,0.10%,0,10
Konak,Brentford,4.5,MID,0.20%,0,10
King,Fulham,4.5,MID,0.70%,0,10
Reed,Fulham,4.5,MID,0.30%,0,10
Heaven,Man Utd,4,DEF,1.80%,0,10
Thiago,Brentford,6,FWD,1.00%,0,9
Steele,Brighton,4.5,GKP,0.50%,0,9
M.França,Crystal Palace,4.5,MID,0.00%,0,9
J.Cuenca,Fulham,4.5,DEF,0.00%,0,9
Irving,West Ham,4.5,MID,0.30%,0,9
Bentley,Wolves,4,GKP,0.90%,0,9
A.García,Aston Villa,4,DEF,0.50%,0,8
Maghoma,Brentford,4.5,MID,0.10%,0,8
Bayindir,Man Utd,5,GKP,0.40%,0,8
Antony,Man Utd,6,MID,0.10%,0,8
Neto,Bournemouth,4.5,GKP,0.50%,0,7
March,Brighton,6,MID,0.10%,0,7
B.Badiashile,Chelsea,4.5,DEF,0.00%,0,7
Mudryk,Chelsea,5,MID,0.00%,0,7
Édouard,Crystal Palace,5,FWD,1.00%,0,7
Chiesa,Liverpool,6.5,MID,0.10%,0,7
Obi,Man Utd,4.5,FWD,2.80%,0,7
Bogarde,Aston Villa,4,DEF,0.30%,0,6
Milner,Brighton,5,MID,0.10%,0,6
Collyer,Man Utd,4.5,MID,0.10%,0,6
Boly,Nott'm Forest,4,DEF,0.60%,0,6
Scarlett,Spurs,4.5,FWD,0.80%,0,6
Coleman,Everton,4.5,DEF,0.20%,0,5
Shaw,Man Utd,4.5,DEF,0.20%,0,5
Winterburn,Bournemouth,4.5,MID,0.10%,0,4
Henry,Brentford,4.5,DEF,0.20%,0,4
Acheampong,Chelsea,4,DEF,0.30%,0,4
Amass,Man Utd,4,DEF,0.20%,0,4
Soler,Bournemouth,4,DEF,0.30%,0,3
Ji-soo,Brentford,4,DEF,0.20%,0,3
Nunes,Brentford,5,MID,0.00%,0,3
Y.Chermiti,Everton,5,FWD,0.20%,0,3
Rodrigo,Man City,6.5,MID,0.70%,0,3
Bobb,Man City,5.5,MID,0.10%,0,3
Marc Guiu,Sunderland,4.5,FWD,15.30%,0,3
Lankshear,Spurs,4.5,FWD,0.20%,0,3
Mosquera,Wolves,4.5,DEF,0.10%,0,3
Valdimarsson,Brentford,4,GKP,1.30%,0,2
Onyeka,Brentford,5,MID,0.00%,0,2
Kporha,Crystal Palace,4,DEF,0.10%,0,2
Agbinone,Crystal Palace,4.5,MID,0.10%,0,2
Armstrong,Everton,4.5,MID,0.20%,0,2
Godo,Fulham,4.5,MID,0.10%,0,2
Fredricson,Man Utd,4,DEF,0.10%,0,2
Malacia,Man Utd,4,DEF,0.30%,0,2
Targett,Newcastle,4,DEF,0.60%,0,2
Da Silva Moreira,Nott'm Forest,4.5,MID,0.20%,0,2
Orford,West Ham,4.5,MID,0.10%,0,2
Pedro Lima,Wolves,4,DEF,1.30%,0,2
Silcott-Duberry,Bournemouth,4.5,MID,0.10%,0,1
Meghoma,Brentford,4,DEF,0.20%,0,1
Trevitt,Brentford,4.5,MID,0.00%,0,1
Cashin,Brighton,4,DEF,0.00%,0,1
Sarmiento,Brighton,5,MID,0.00%,0,1
Chadi Riad,Crystal Palace,4,DEF,0.00%,0,1
Danns,Liverpool,4.5,FWD,0.20%,0,1
Vitor Reis,Man City,5,DEF,0.00%,0,1
Echeverri,Man City,5.5,MID,0.00%,0,1
Austin,Spurs,4,GKP,0.30%,0,1
Casey,West Ham,4,DEF,0.40%,0,1
Cornet,West Ham,5,MID,0.00%,0,1
King,Wolves,4,GKP,1.90%,0,1
Pond,Wolves,4,DEF,1.80%,0,1
B.Traore,Wolves,5,MID,0.00%,0,1
Hein,Arsenal,4,GKP,0.60%,0,0
Setford,Arsenal,4,GKP,0.10%,0,0
Clarke,Arsenal,4,DEF,0.60%,0,0
Kacurri,Arsenal,4,DEF,0.20%,0,0
Nichols,Arsenal,4,DEF,0.20%,0,0
Mosquera,Arsenal,5.5,DEF,0.10%,0,0
Fábio Vieira,Arsenal,5.5,MID,0.00%,0,0
Zubimendi,Arsenal,5.5,MID,2.10%,0,0
Kabia,Arsenal,4.5,MID,0.30%,0,0
Sambi,Arsenal,4.5,MID,0.10%,0,0
Gyökeres,Arsenal,9,FWD,25.90%,0,0
M.Bizot,Aston Villa,4.5,GKP,0.30%,0,0
Gauci,Aston Villa,4,GKP,0.50%,0,0
